field,name,ra,dec
463,UW463,214.16183461374067,12.720360008832602
464,UW464,216.69398274544332,12.720360008832602
465,UW465,219.22613087714598,12.720360008832602
466,UW466,221.75827900884863,12.720360008832602
467,UW467,224.2904271405513,12.720360008832602
468,UW468,226.82257527225394,12.720360008832602
469,UW469,229.3547234039566,12.720360008832602
470,UW470,231.88687153565925,12.720360008832602
471,UW471,234.4190196673619,12.720360008832602
472,UW472,236.95116779906456,12.720360008832602
473,UW473,239.48331593076722,12.720360008832602
474,UW474,242.01546406246987,12.720360008832602
475,UW475,244.54761219417253,12.720360008832602
476,UW476,247.07976032587518,12.720360008832602
477,UW477,249.61190845757784,12.720360008832602
478,UW478,252.1440565892805,12.720360008832602
479,UW479,114.24567639621364,14.525360008832603
480,UW480,116.79723248927809,14.525360008832603
481,UW481,119.34878858234254,14.525360008832603
482,UW482,121.90034467540698,14.525360008832603
483,UW483,124.45190076847143,14.525360008832603
484,UW484,127.00345686153588,14.525360008832603
485,UW485,129.55501295460033,14.525360008832603
486,UW486,132.10656904766478,14.525360008832603
487,UW487,134.65812514072923,14.525360008832603
488,UW488,137.20968123379367,14.525360008832603
489,UW489,139.76123732685812,14.525360008832603
490,UW490,142.31279341992257,14.525360008832603
491,UW491,144.86434951298702,14.525360008832603
492,UW492,147.41590560605147,14.525360008832603
493,UW493,149.96746169911592,14.525360008832603
494,UW494,152.51901779218036,14.525360008832603
495,UW495,155.0705738852448,14.525360008832603
496,UW496,157.62212997830926,14.525360008832603
497,UW497,160.1736860713737,14.525360008832603
498,UW498,162.72524216443816,14.525360008832603
499,UW499,165.2767982575026,14.525360008832603
500,UW500,167.82835435056705,14.525360008832603
501,UW501,170.3799104436315,14.525360008832603
502,UW502,172.93146653669595,14.525360008832603
503,UW503,175.4830226297604,14.525360008832603
504,UW504,178.03457872282485,14.525360008832603
505,UW505,180.5861348158893,14.525360008832603
506,UW506,183.13769090895374,14.525360008832603
507,UW507,185.6892470020182,14.525360008832603
508,UW508,188.24080309508264,14.525360008832603
509,UW509,190.7923591881471,14.525360008832603
510,UW510,193.34391528121154,14.525360008832603
511,UW511,195.89547137427598,14.525360008832603
512,UW512,198.44702746734043,14.525360008832603
513,UW513,200.99858356040488,14.525360008832603
514,UW514,203.55013965346933,14.525360008832603
515,UW515,206.10169574653378,14.525360008832603
516,UW516,208.65325183959823,14.525360008832603
517,UW517,211.20480793266267,14.525360008832603
518,UW518,213.75636402572712,14.525360008832603
519,UW519,216.30792011879157,14.525360008832603
520,UW520,218.85947621185602,14.525360008832603
521,UW521,221.41103230492047,14.525360008832603
522,UW522,223.96258839798492,14.525360008832603
523,UW523,226.51414449104936,14.525360008832603
524,UW524,229.0657005841138,14.525360008832603
525,UW525,231.61725667717826,14.525360008832603
526,UW526,234.1688127702427,14.525360008832603
527,UW527,236.72036886330716,14.525360008832603
